"","id","huml","humw","ulnal","ulnaw","tibl","tibw","type"
"86",85,89.59,5.11,98.02,4.46,58.09,2.79,"SW"
"87",86,89,4.8,93.9,3.96,62.66,2.73,"SW"
"88",87,89.48,4.76,92.4,4.09,57.8,2.69,"SW"
"89",88,80.7,5.23,85.96,4.25,70.57,2.88,"SW"
"90",89,80.97,5.25,86.64,3.99,70.28,3.04,"SW"
"91",90,75.94,5.25,80.66,4.26,68.23,2.97,"SW"
"92",91,107.84,4.02,70.21,3.29,52.41,2.56,"SW"
"93",92,69.37,4.07,67.08,3.61,53.42,2.03,"SW"
"94",93,102.8,5.82,106.74,4.71,70.74,3.09,"SW"
"95",94,100.28,5.6,109.44,4.88,72.52,3.39,"SW"
"96",95,72.17,3.94,74.39,3.56,50.64,2.32,"SW"
"97",96,103.14,5.92,103.65,4.78,75.54,3.47,"SW"
"98",97,107.41,5.69,110.5,5.32,81.86,3.71,"SW"
"99",98,68.06,3.76,69.61,3.2,51.08,2.58,"SW"
"100",99,65.71,3.81,68.64,3.36,48.94,1.94,"SW"
"101",100,67.06,3.54,67.98,3.24,51.88,1.86,"SW"
"102",101,67.59,3.73,68.55,3.19,50.06,2.36,"SW"
"103",102,100.27,5.75,107.95,4.86,69.54,3.21,"SW"
"104",103,68.5,3.77,71.15,3.34,51.44,2.1,"SW"
"105",104,68.15,3.84,72.31,3.42,50.26,2.13,"SW"
"106",105,107.76,4.71,110.21,4.12,76.18,3.77,"SW"
"107",106,109.7,4.65,109.87,4.04,76.8,3.56,"SW"
"108",107,100.69,4.8,101.28,4.13,85.62,4.2,"SW"
"109",108,100.08,5.07,100.81,4.04,87.55,3.96,"SW"
"110",109,70.04,4.74,61.26,3.97,71.11,3.44,"SW"
"111",110,75.95,5.42,66.16,4.16,78.94,3.56,"SW"
"112",111,106.23,6.82,104.02,5.07,105.34,4.99,"SW"
"113",112,105.19,7.1,96.85,5.43,102.04,4.9,"SW"
"114",113,76.49,5.36,69.06,4.02,72.41,3.71,"SW"
"115",114,65.66,3.79,61.06,3.35,63.76,2.72,"SW"
"116",115,98.73,6.48,91.69,5.31,92.36,4.46,"SW"
"117",116,157,9,192,7.02,227,6.84,"W"
"119",118,70.01,3.71,76.9,2.88,79.56,3.35,"W"
"120",119,92.93,5.28,110.94,3.87,137,4.29,"W"
"121",120,118.52,6.87,134.91,5.06,132,5.38,"W"
"122",121,120.26,7.01,132.42,5.4,130.1,5.22,"W"
"123",122,67.63,4.37,60.17,3.73,92.18,4.31,"W"
"124",123,57.08,4.28,46.72,3.63,89.93,4.23,"W"
"125",124,48.19,3.44,43.71,3.01,94.86,3.45,"W"
"126",125,30.99,2.09,26.14,1.82,50.67,1.98,"W"
"127",126,34.17,2.21,27.8,1.97,51.77,2.06,"W"
"128",127,37.64,2.2,31.58,1.87,57.06,2.19,"W"
"129",128,35.11,2.51,29.18,2.54,38.09,1.84,"W"
"130",129,33.37,2.69,30.06,2.51,38.3,1.87,"W"
"131",130,34.8,2.44,29.12,2.38,35.5,1.51,"W"
"132",131,74.89,5.63,60.54,4.67,72.16,3.53,"W"
"133",132,76.71,5.82,61.54,5.2,75.24,4.21,"W"
"134",133,45.25,3.5,38.72,3.33,46.36,2.39,"W"
"135",134,46.4,3.39,38.6,3.32,49.08,2.49,"W"
"136",135,45.68,3.95,38.98,3.51,45.23,2.52,"W"
"137",136,45.18,3.44,38.53,3.15,46.93,2.36,"W"
"138",137,50.22,4.31,36.33,3.79,46.42,2.1,"W"
"139",138,44.71,3.93,32.87,2.97,40.79,1.8,"W"
"140",139,84.92,7.9,63.16,5.78,82.87,4.36,"W"
"141",140,88.16,8.15,66.99,6.25,83.02,3.99,"W"
"142",141,82.39,4.8,92.5,3.64,140,4.26,"W"
"143",142,83.48,5.06,94.46,3.57,110,3.8,"W"
"144",143,27.94,1.93,30.25,1.66,35.21,1.38,"W"
"145",144,29.4,2.05,32.56,1.9,38.96,1.45,"W"
"146",145,68.92,4.48,75.44,3.97,89.16,3.53,"W"
"147",146,67.37,4.34,78.5,4.05,45.73,2.53,"W"
"148",147,38.79,2.61,46.6,2.64,32.09,1.37,"W"
"149",148,116.72,6.08,133.82,6.32,78.04,3.99,"W"
"150",149,138.48,7.54,157,6.72,116.09,5.83,"W"
"151",150,111.99,6.33,125.88,5.13,84.8,3.93,"W"
"152",151,82.3,4.88,95.09,4.34,75.34,3.19,"W"
"153",152,108.44,6.54,120.99,5.55,90.24,4.09,"W"
"154",153,138.09,8.08,155.49,7.43,125,4.66,"W"
"155",154,129.5,7.52,144,6.4,113.44,5.15,"W"
"156",155,100.38,5.52,113.24,5.04,82.87,3.69,"W"
"157",156,127.4,6.93,142,6.25,107.48,5.2,"W"
"158",157,150,8.05,170,7.36,124.92,5.76,"W"
"159",158,70.93,4.27,79.28,3.86,72.1,2.83,"W"
"160",159,126.74,6.5,140,5.82,105.81,5.09,"W"
"162",161,73.15,4.2,81.12,3.72,70.39,2.49,"W"
"163",162,84.71,5.3,94.59,4.36,69.97,3.03,"W"
"164",163,91.89,4.99,99.31,4.73,73.23,2.99,"W"
"165",164,85,5.07,93.17,4.21,67.32,2.73,"W"
"166",165,87.91,5.15,97.67,4.78,70.1,2.59,"W"
"167",166,63.48,4.03,77.33,3.65,48.82,2.51,"W"
"168",167,80,4.7,111.96,4.87,68.89,3.25,"W"
"169",168,50.96,3.32,59.14,3.18,37.49,2.06,"W"
"170",169,25.1,1.68,26.11,1.73,35.85,1.2,"W"
"171",170,22.39,1.53,24.16,1.29,30.31,0.99,"W"
"172",171,22.89,1.55,24.62,1.59,34.27,1.06,"W"
"173",172,64.75,4.27,70.13,3.91,86.5,3.81,"W"
"174",173,35.97,2.81,39.56,2.5,52,2.53,"W"
"175",174,71.35,4.89,80.97,12,86.6,3.56,"W"
"176",175,73.44,5.16,83.64,4.06,80.76,3.76,"W"
"177",176,33.2,2.11,34.31,2.25,37.95,1.42,"W"
"178",177,32.31,2.16,32.74,1.98,33.37,1.14,"W"
"179",178,28.51,1.8,29.35,1.78,36.04,1.14,"W"
"180",179,34.12,1.9,35.57,1.93,46.24,1.27,"W"
"181",180,87.01,5.18,94.34,4.45,67.12,2.93,"W"
"182",181,43.97,4.64,51.07,3.8,55.67,2.88,"T"
"183",182,44.58,5.76,52.76,4.84,56.42,3.31,"T"
"184",183,20.25,2.35,25.14,1.76,27.67,1.41,"T"
"185",184,48.7,5.46,57.39,3.73,52.42,2.85,"T"
"186",185,35.74,3.91,39.2,2.93,42.8,2.18,"T"
"187",186,37.69,4.18,43.3,3.38,49.15,2.37,"T"
"188",187,31.26,3.6,35.24,2.91,39.04,2.32,"T"
"189",188,30.97,3.65,36.47,2.96,37.41,1.99,"T"
"190",189,30.31,3.36,34.83,2.49,34.16,1.88,"T"
"191",190,32.02,2.99,27.7,2.38,53.33,2.71,"T"
"192",191,32.34,3.17,29.05,2.36,55.36,2.51,"T"
"193",192,30.88,3.32,26.93,2.41,53.59,2.62,"T"
"194",193,32.11,3.47,28.48,2.62,56.16,3,"T"
"195",194,32.61,2.98,28.37,2.49,48.92,2.39,"T"
"196",195,34.63,3.1,26.87,2.35,53.98,2.79,"T"
"197",196,32.28,3.34,28.79,2.45,52.93,2.5,"T"
"198",197,92.82,9.6,100.58,7.57,118.24,6.61,"T"
"199",198,55.62,4.79,52.09,4.26,86.17,4.76,"T"
"200",199,32.68,3.26,29.02,2.36,56.45,2.5,"T"
"201",200,34.24,3.39,30.65,2.63,53.77,2.72,"T"
"202",201,118.75,11.9,104.68,4.77,183,9.69,"T"
"203",202,127,13.79,123.27,9.42,189,10.03,"T"
"204",203,39.64,4.07,37.32,2.98,64.45,3.37,"T"
"206",205,57.48,4.74,69.06,4.08,80.16,4.25,"R"
"207",206,62.49,4.75,69.66,3.99,77.6,4.26,"R"
"209",208,54.47,4.37,63.29,3.32,64.25,3.15,"R"
"210",209,57.56,4.33,67.15,3.54,75.03,3.71,"R"
"211",210,52.88,4.47,62.02,3.76,63.42,3.4,"R"
"212",211,110.87,8.26,129.05,6.78,112.36,7.18,"R"
"213",212,117.37,9.25,136.52,7,119.17,7.89,"R"
"214",213,102.35,7.01,118.67,5.72,104.01,6.12,"R"
"215",214,108.37,7.49,129.39,6,113.39,6.38,"R"
"216",215,81.39,5.77,94.83,4.8,91.63,5.38,"R"
"217",216,83.13,5.8,95.42,4.4,90.6,4.95,"R"
"218",217,89.63,6.44,104.11,5.26,97.78,5.81,"R"
"219",218,89.05,6.28,102.09,5.37,96.12,5.7,"R"
"220",219,98.94,7.13,119.72,5.6,106.5,5.8,"R"
"221",220,121.59,8.17,148.52,6.44,116.71,6.87,"R"
"222",221,130.06,9.51,155,7.18,125.53,7.87,"R"
"223",222,116.41,6.85,131,5.8,119.87,6.1,"R"
"224",223,107.06,8.62,129.08,6.48,100.06,6.1,"R"
"225",224,120,8.38,130,6.41,116.17,7.52,"R"
"226",225,85.45,6.16,99.32,4.81,69.15,4.21,"R"
"227",226,83.02,5.95,96.97,4.38,66.6,4.06,"R"
"228",227,71.97,6.18,84.68,5.14,82.93,4.63,"R"
"229",228,82.58,7.32,97.52,6.19,91.66,5.65,"R"
"230",229,45.37,3.72,51.37,3.16,53.23,2.68,"R"
"231",230,41.65,3.62,46.01,3.03,48.11,2.55,"R"
"232",231,42.46,3.49,47.34,3.27,49.17,2.68,"R"
"233",232,145,10.37,188,7.92,125.48,7.9,"R"
"234",233,142,9.6,82,7.31,124.98,7.05,"R"
"235",234,145,10.31,188,7.85,126.54,7.13,"R"
"236",235,57.41,3.82,70.39,3.08,66.58,3.33,"R"
"237",236,50.78,3.15,62.89,2.69,62.53,2.75,"R"
"238",237,119.12,7.57,137.37,6.06,115.02,6.22,"R"
"239",238,117.43,7.13,136.26,5.51,115.3,5.45,"R"
"240",239,116.85,7.43,134.8,6.19,112.66,5.94,"R"
"241",240,119.58,8.04,138.39,6.25,115.9,6.07,"R"
"242",241,126.88,8.01,148.47,6.59,124.05,6.58,"R"
"243",242,47.16,2.82,55.41,2.37,53.22,2.29,"R"
"244",243,44.91,2.54,48.45,2.14,50.87,2.27,"R"
"245",244,61.6,3.42,66.26,2.59,63.03,2.87,"R"
"246",245,94.03,5.88,104.09,4.32,96.6,4.87,"R"
"247",246,90.13,5.92,104.28,4.4,94.99,4.42,"R"
"248",247,100.29,6.33,112.19,4.69,102.54,5.33,"R"
"249",248,96.46,5.71,111.85,4.2,99.16,4.56,"R"
"250",249,93.37,5.33,102.65,3.9,101.24,4.57,"R"
"251",250,99.69,6.09,111,4.26,104.72,4.92,"R"
"252",251,34.84,2.44,40.68,2.04,42.48,2.45,"R"
"253",252,33.12,2.4,39.85,1.8,38.99,2.15,"R"
"254",253,35.63,2.4,42.67,2.02,42.64,2.46,"R"
"255",254,29.26,2.66,27.63,2.23,38.9,1.81,"P"
"256",255,30.6,2.45,25.9,1.87,50.25,1.88,"P"
"257",256,30.25,2.29,25.14,1.87,50.98,2,"P"
"258",257,42.52,2.99,36.73,2.91,81.57,3.71,"P"
"259",258,45.6,3.35,38.73,3.52,83.59,3.72,"P"
"260",259,43.97,3.54,38.38,3.14,83.15,4.12,"P"
"261",260,46.38,3.41,39.8,3.48,85.88,4.04,"P"
"262",261,45.57,4.64,57.13,2.93,36.95,1.96,"P"
"263",262,33.81,2.8,42.82,2.22,26.28,1.31,"P"
"264",263,31.72,2.64,40,1.99,32.21,1.62,"P"
"265",264,9.85,2.88,14.73,1.73,20.89,1.25,"P"
"266",265,44.47,4.24,55.77,3.43,52.8,2.82,"P"
"267",266,18.46,1.79,21.12,1.47,26.33,1.05,"P"
"268",267,18.55,2.12,21.08,1.41,25.97,1.17,"P"
"269",268,27.57,2.67,31.6,2.12,30.42,1.58,"P"
"270",269,27.07,2.66,31.95,1.87,26.38,1.33,"P"
"271",270,26.92,2.73,31.54,2.01,26.68,1.35,"P"
"272",271,49.12,3.59,60.95,2.99,37.29,1.81,"P"
"273",272,48.8,3.78,59.47,3.17,36.01,1.63,"P"
"274",273,47.17,3.96,56.57,2.87,50.66,2.49,"P"
"275",274,37.86,3.24,46.72,2.63,42.49,1.89,"P"
"276",275,39.98,3.34,47.5,2.64,42.96,2.2,"P"
"277",276,44.18,3.88,50.72,3.49,50.89,3.61,"P"
"278",277,41.36,3.52,49.34,2.83,44.31,2.43,"P"
"279",278,41.66,3.56,48.82,2.8,46.19,2.31,"P"
"280",279,31.28,2.83,36.88,2.2,32.6,1.68,"P"
"281",280,34.07,3.26,41.34,2.62,36.35,2.13,"P"
"282",281,33.79,3.04,42.13,2.56,34.74,2.07,"P"
"283",282,34.15,2.98,40.67,2.45,37.35,1.93,"P"
"284",283,36.88,3.18,46.28,2.77,39.44,2.03,"P"
"285",284,28.55,2.65,33.74,2.38,29.21,1.64,"P"
"286",285,30.51,2.69,35.33,2.29,32.26,1.65,"P"
"287",286,29.81,2.59,35.05,2.28,31.89,1.84,"P"
"288",287,27.72,2.67,32,2.21,32.5,1.76,"P"
"289",288,29.14,2.75,32.91,2.16,33.89,1.8,"P"
"290",289,27.85,2.65,32.62,2.05,33.62,1.91,"P"
"291",290,20.06,1.73,23.15,1.49,24.71,1.29,"P"
"292",291,41.6,3.74,56.5,3.02,62.9,2.82,"P"
"293",292,29.61,2.41,33.93,2.02,51.64,2.01,"SO"
"294",293,30.28,2.89,35.37,2.15,53.36,2.31,"SO"
"295",294,28.1,2.44,32.5,2.19,50.47,2.21,"SO"
"296",295,28.66,2.48,33.24,2.02,50.64,2.05,"SO"
"297",296,36.36,3.31,40.51,2.56,53.96,2.63,"SO"
"298",297,37.05,3.48,41.41,2.91,61.65,2.89,"SO"
"299",298,41.19,3.78,43.24,2.91,64.68,2.99,"SO"
"300",299,37.71,3.55,42.47,2.89,62.45,3.06,"SO"
"301",300,38.66,3.83,43.71,3.02,64.97,2.95,"SO"
"302",301,21.07,2,25.36,1.7,26.28,1.35,"SO"
"303",302,21.46,1.97,25.44,1.73,27.01,1.56,"SO"
"304",303,22.13,2.1,26.53,1.78,26.12,1.52,"SO"
"305",304,21.82,2,26.73,1.77,25.82,1.39,"SO"
"306",305,16.5,1.46,19.44,1.42,26.21,1.17,"SO"
"307",306,15.97,1.47,19.91,1.32,25.99,1.14,"SO"
"308",307,17.13,1.49,20.38,1.33,27.96,1.2,"SO"
"309",308,15.46,1.46,19.12,1.36,26.25,1.22,"SO"
"310",309,21.68,1.93,24.84,1.86,35.22,1.57,"SO"
"311",310,22.14,1.91,25.71,1.74,35.44,1.42,"SO"
"312",311,22.26,1.77,24.58,1.67,36.06,1.43,"SO"
"313",312,25.4,1.84,24.18,1.73,38.97,1.54,"SO"
"314",313,24.43,2.08,25.98,1.84,39.14,1.9,"SO"
"315",314,20.36,1.91,21.92,1.54,36.81,1.56,"SO"
"316",315,21.31,2.24,26.66,1.87,30.64,1.43,"SO"
"317",316,20.97,2.16,26.27,1.85,31.01,1.23,"SO"
"318",317,21.04,2.12,26.27,1.81,29.5,1.39,"SO"
"319",318,25.36,2.36,28.04,1.68,35.58,1.42,"SO"
"320",319,23.88,2.4,29.16,1.74,37.24,1.54,"SO"
"321",320,24.56,2.25,28.53,1.94,38.27,1.62,"SO"
"322",321,24.03,2.37,29.26,1.94,37.13,1.73,"SO"
"323",322,18.12,1.61,22.32,1.38,26.64,1.1,"SO"
"324",323,18.69,1.75,22.76,1.57,26.6,1.05,"SO"
"325",324,18.94,1.83,22.95,1.69,28.59,1.16,"SO"
"326",325,27.9,2.51,31.56,2.07,45.9,2.09,"SO"
"327",326,26.49,2.38,30.38,2.04,42.19,1.87,"SO"
"328",327,26.75,2.39,30.48,1.97,44.2,1.79,"SO"
"329",328,27.06,2.5,30.28,2.1,46.02,1.76,"SO"
"330",329,19,1.68,24,1.45,27.19,1.01,"SO"
"331",330,19.34,1.69,24.89,1.51,28.63,1.22,"SO"
"332",331,20.19,1.85,26.41,1.53,29.66,1.15,"SO"
"333",332,21.85,2.06,25.9,1.75,34.26,1.43,"SO"
"334",333,20.8,1.95,23.44,1.6,35.52,1.45,"SO"
"335",334,20.62,1.87,23.45,1.75,34.64,1.76,"SO"
"336",335,22.35,2.01,25.13,1.85,36.5,1.71,"SO"
"337",336,26.23,2.3,30.53,2.15,41.33,1.71,"SO"
"338",337,26.32,2.34,30.17,2.18,41.6,1.77,"SO"
"339",338,25.57,2.18,29.05,2.15,40.9,1.83,"SO"
"340",339,24.67,1.9,27.06,2.1,39.72,1.99,"SO"
"341",340,30.26,2.54,34.8,2.09,48.67,2.16,"SO"
"342",341,29.38,2.44,29.84,2.44,47.18,2.19,"SO"
"344",343,30.1,2.49,34.69,2.26,49.08,2.1,"SO"
"345",344,31.14,2.87,37.34,2.81,48.65,2.3,"SO"
"346",345,32.08,2.7,38.3,2.63,49.85,1.99,"SO"
"347",346,32.31,3,39.03,2.73,51.04,2.4,"SO"
"348",347,23.99,2.19,28.88,1.96,38.98,1.83,"SO"
"349",348,22.25,1.92,25.93,1.61,38.48,1.46,"SO"
"350",349,21.88,2.02,25.45,1.68,37.26,1.38,"SO"
"351",350,26.71,2.32,31.71,1.9,47.91,2.08,"SO"
"352",351,29.18,2.39,34.32,2.04,49.66,1.96,"SO"
"353",352,25.78,2.21,28.16,1.84,42.34,1.58,"SO"
"354",353,26.09,2.17,28.99,1.77,46.64,2.04,"SO"
"355",354,28.14,2.35,30.63,1.86,49.07,2.07,"SO"
"356",355,18.68,1.62,24.78,1.4,29.67,1.06,"SO"
"357",356,18.3,1.69,22.97,1.48,36.39,1.24,"SO"
"358",357,20.64,1.97,26.1,1.61,40.19,1.47,"SO"
"359",358,19.4,1.88,25.08,1.57,36.89,1.31,"SO"
"360",359,17.32,1.83,24.34,1.36,37.26,1.3,"SO"
"361",360,21.38,1.87,27.42,1.7,37.88,1.33,"SO"
"362",361,20.08,2.07,25.78,1.81,38.3,1.35,"SO"
"363",362,20.1,1.89,25.57,1.8,37.05,1.42,"SO"
"364",363,19.96,1.88,25.19,1.66,36.65,1.4,"SO"
"365",364,30.21,2.97,37.31,2.58,47.98,1.98,"SO"
"366",365,29.52,2.92,37.47,2.37,47.49,1.98,"SO"
"367",366,16.93,1.52,19.49,1.12,28.89,1.08,"SO"
"368",367,13.31,1.17,16.47,1.06,22.47,0.95,"SO"
"369",368,15.24,1.4,18.37,1.13,25.57,0.91,"SO"
"370",369,13.48,1.27,16,1,23.12,0.88,"SO"
"371",370,13.38,1.14,16.51,1.23,24.91,0.92,"SO"
"372",371,13.67,1.27,17.52,1.08,25.47,0.98,"SO"
"373",372,14.51,1.49,18.79,1.12,25.85,1,"SO"
"374",373,14.62,1.39,19.23,1.12,26.11,1.03,"SO"
"375",374,14.88,1.49,19.55,1.15,25.54,0.91,"SO"
"376",375,14.61,1.37,20.3,1.23,25.09,0.88,"SO"
"377",376,13.52,1.28,17.88,1.07,25.14,1.23,"SO"
"378",377,12.69,1.69,17.44,1.16,23.8,0.87,"SO"
"380",379,22.26,1.94,27.69,1.71,27.29,1.26,"SO"
"381",380,24.84,2.32,28.88,2.01,40.2,1.83,"SO"
"382",381,23.52,2.16,29.33,1.72,32.45,1.13,"SO"
"383",382,22.55,2.27,28.3,1.76,30.95,1.39,"SO"
"384",383,23.94,2.45,27.86,1.95,35.62,1.86,"SO"
"385",384,48.2,4.08,61.94,3.75,62.09,3.21,"SO"
"386",385,24.28,2.16,30.29,1.91,29.29,1.47,"SO"
"387",386,25.24,2.42,32.13,2.1,29.58,1.57,"SO"
"388",387,23.9,2.32,28.83,1.67,33.11,1.61,"SO"
"389",388,23.82,2.19,29.6,1.88,28.54,1.54,"SO"
"390",389,19.63,1.76,23.58,1.33,33.1,1.34,"SO"
"391",390,20.43,1.59,22.68,1.39,35.63,1.33,"SO"
"392",391,22.19,1.86,24.93,1.52,40.17,1.73,"SO"
"393",392,23.27,2,24.8,1.83,41.91,1.67,"SO"
"394",393,18.97,1.58,21.26,1.4,36.52,1.52,"SO"
"395",394,15.99,1.35,18.32,1.13,30.05,1.23,"SO"
"396",395,15.62,1.28,18.52,1.06,28.63,1.03,"SO"
"398",397,16.8,1.58,19.77,1.39,29.75,1.18,"SO"
"399",398,15.55,1.48,18.93,1.3,31.65,1.14,"SO"
"400",399,23.32,2.06,27.9,1.84,34.77,1.42,"SO"
"401",400,20.41,1.82,22.66,1.71,29.3,1.21,"SO"
"402",401,21.53,1.91,25.3,1.67,34.08,1.33,"SO"
"403",402,22.84,2.21,27.7,2.06,34.6,1.69,"SO"
"404",403,20.95,1.89,24.12,1.66,36.71,1.53,"SO"
"406",405,17.3,1.68,20.43,1.33,25.96,0.88,"SO"
"407",406,16.86,1.58,20.72,1.36,24.56,0.98,"SO"
"408",407,15.7,1.42,18.58,1.2,25.39,0.92,"SO"
"409",408,19.54,1.86,23.35,1.47,29.05,1.35,"SO"
"410",409,23.27,2.15,27.62,2.16,35.55,1.51,"SO"
"411",410,23.04,2.15,28.29,1.94,33.41,1.42,"SO"
"412",411,21.21,1.88,23.35,1.62,35.02,1.4,"SO"
"413",412,21.92,1.8,25.73,1.49,30.47,1.36,"SO"
"414",413,12.95,1.16,14.09,1.03,22.13,0.96,"SO"
"415",414,13.63,1.16,15.22,1.06,23.13,0.96,"SO"
"416",415,17.96,1.63,19.25,1.33,31.25,1.33,"SO"
"417",416,19.21,1.64,20.76,1.49,33.21,1.28,"SO"
"418",417,18.79,1.63,19.83,1.53,34.45,1.41,"SO"
"419",418,20.38,1.78,22.53,1.5,36.09,1.53,"SO"
"420",419,17.89,1.44,19.26,1.1,29.81,1.24,"SO"
